url,title,company,use_case,roi_category,roi_type,has_percentage_claim,max_percentage,percentages,has_amount_claim,max_amount,amounts,credibility_score,source,date,sentiment,ai_mention_count
https://www.ispreview.co.uk/index.php/2025/11/isp-octaplus-test-new-ai-support-system-with-uk-broadband-customers.html,ISP Octaplus Test New AI Support System with UK Broadband Customers,Octaplus,customer_support_experience,Customer Support & Experience,customer_impact,False,,,False,,,85,ISPreview UK,2025-11-13,positive,5
https://www.ispreview.co.uk/index.php/2025/11/city-of-london-corp-picks-roc-technologies-to-deliver-new-network.html,City of London Corp Picks Roc Technologies to Deliver New Network,"Roc Technologies,Vorboss",other,Other/General,time_savings,False,,,False,,,75,ISPreview UK,2025-11-13,positive,1
